Item Name,count
GLAZED BABY BACK PORK RIBS,402
GRILLED SWEET CORN,260
ARTISAN MAC AND CHEESE,228
STEAK SANDWICH COMBO,224
CHICKEN WINGS,220
CRINKLE FRIES,212
BELLY BITES,198
BEEF BACK RIBS (Full Rack),197
BAKED BABY POTATOES,125
MOZZARELLA STICKS,122
PINEAPPLE SLAW,109
BABY BACK RIB COMBO,107
LOADED FRIES,103
CLASSY RANCH DIP,94
PEAR GORGONZOLA SALAD,80
BEEF SHORT RIB,65
BOOM-BOOM SAUCE,65
CRISPY CHICKEN SANDWICH,64
CIABATTA STEAK SANDWICH,64
SIGNATURE BBQ DIP,63
CRISPY CHICKEN COMBO,62
SWEET AND SPICY BBQ DIP,46
COCA-COLA™,45
STEAK SANDWICH,45
BELLY SLIDERS,44
CRISPY  FRIES,43
MAC&CHEESE,37
THE BELLY COMBO,36
DR. PEPPER ™,35
PORK RACK COMBO,34
BABY BACK PORK RIBS,34
3-BONE MEAL DEAL,33
RIBS & WINGS BUNDLE,29
SPRITE™,29
Beef Short Rib,29
CREAMY BLUE CHEESE DIP,29
Party Package (4-6 ppl),26
GET YOUR BABY BACK!,25
BEEF RACK COMBO,23
DIET COKE ™,21
FRIED CHICKEN WINGS,21
SHORT RIB PLATTER,19
CHUNKY BLUE CHEESE DIP,19
KETCHUP,16
PURE LEAF™ unsweetened iced tea,14
DINO DINNER,13
DR. PEPPER,12
PICKLED JALAPEÑO PEPPERS,10
SIGNATURE BBQ SAUCE,10
Party Package (6-8 ppl),9
WINGS & FRIES,9
THE BABY BACK COMBO,8
PULLED BEEF SANDWICH,8
PULLED SANDWICH COMBO,8
MOZZARELLA WEDGES,8
BABYBACK RIB COMBO,7
Sweet’n’Spicy BBQ Sauce (8 oz),7
SWEET AND SPICY BBQ SAUCE,7
Signature BBQ Sauce (8 oz),7
CHEESECAKE BITES,7
1/2 POUND STEAK SANDWICH,6
BBQ RIB COMBO,6
MARSH’n’COOKIE,5
MAYONNAISE,5
Party Package (10-12 ppl),5
WINGS COMBO,5
PORK BELLY BITES,5
MUSTARD,4
HOUSE-MADE CURRY DIP,4
CHIABATTA STEAK SANDWICH,3
BOTTLED WATER,3
SLOW-COOKED ASPARAGUS,3
Ranch (8 oz),3
Classy Ranch Sauce (8 oz),3
TANGY & SWEET CURRY DIP,3
Mac’n’Cheese Family size,3
French fries,2
ULTIMATE STEAK SANDWICH,2
BBQ dipping sauce,2
BLUE CHEESE SAUCE,2
Artisan Mac and Cheese,2
THE BABY BACK PARTY-XL,2
Mac’n’Cheese Half Pan,2
BEEF SANDWICH COMBO,1
BEEF SHORT RIBS (FULL RACK),1
Beef Back Ribs (Full Rack),1
BEEF BACK RIBS (FULL RACK),1
Beef Back Ribs Substitution,1
CHOP-CHOP,1
BEEF SHORT RIB (Full Rack),1
PORK NOODLE SOUP,1
Crispy Chicken Sandwich,1
PARTY PACKAGE (4-6ppl),1
LOAD YOUR FRIES,1
Local Delivery Service,1
Pineapple Coleslaw,1
RIBS & WINGS BUNDLE !BEEF RIBS ONLY!,1
Party Package (10-12ppl),1
Pickled Jalapeños (8oz),1
Party Package !BEEF RIBS ONLY! (4-6 ppl),1
Party Package  (6-8 ppl),1
THE BABY BACK PARTY- XXXL,1
“Get your baby back” Pork Ribs,1
